1.easyfig.fa	2.easyfig.fa	99.91	36154	11	3	1	36136	47817	11666	0.0	7.143e+04
1.easyfig.fa	2.easyfig.fa	99.84	4280	7	0	45820	50099	4280	1	0.0	8429
1.easyfig.fa	2.easyfig.fa	99.70	2357	7	0	43431	45787	6627	4271	0.0	4617
1.easyfig.fa	2.easyfig.fa	96.98	464	13	1	36430	36893	11356	10894	0.0	 801
1.easyfig.fa	2.easyfig.fa	97.12	451	13	0	40054	40504	7949	7499	0.0	 791
1.easyfig.fa	2.easyfig.fa	95.45	44	2	0	19179	19222	28579	28622	6e-13	71.9
1.easyfig.fa	2.easyfig.fa	100.00	24	0	0	35521	35544	12258	12281	8e-06	48.1
1.easyfig.fa	2.easyfig.fa	95.45	22	1	0	19189	19210	26723	26744	0.031	36.2
1.easyfig.fa	2.easyfig.fa	95.45	22	1	0	21057	21078	28591	28612	0.031	36.2
1.easyfig.fa	2.easyfig.fa	94.74	19	1	0	10992	11010	3857	3839	1.9	30.2
1.easyfig.fa	2.easyfig.fa	100.00	15	0	0	11084	11098	24309	24323	1.9	30.2
1.easyfig.fa	2.easyfig.fa	100.00	15	0	0	6747	6761	30957	30971	1.9	30.2
1.easyfig.fa	2.easyfig.fa	100.00	15	0	0	23478	23492	36703	36717	1.9	30.2
1.easyfig.fa	2.easyfig.fa	94.74	19	1	0	46243	46261	36809	36791	1.9	30.2
1.easyfig.fa	2.easyfig.fa	100.00	15	0	0	16830	16844	41039	41053	1.9	30.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	32182	32195	4488	4501	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	4120	4133	6925	6912	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	34303	34316	13486	13499	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	45557	45570	15607	15620	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	4736	4749	20320	20333	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	37984	37997	21041	21028	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	18383	18396	26068	26081	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	18380	18393	28181	28194	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	21720	21733	29405	29418	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	19607	19620	29408	29421	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	38340	38353	40477	40490	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	36479	36492	42160	42147	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	27468	27481	43051	43064	7.5	28.2
1.easyfig.fa	2.easyfig.fa	100.00	14	0	0	24	37	47781	47794	7.5	28.2
